id,model,trim,year,price_usd,mileage_km,fuel_type,transmission,engine_liters,horsepower,color,body_type,region,owner_count,condition,service_history
1,GLS,Avantgarde,2010,107035,150098,Petrol,Automatic,5.4,380,Red,SUV,Europe,4,Like New,No
2,CLA,AMG Line,2017,71392,37857,Plug-in Hybrid,Manual,3.6,189,Black,Coupe,Asia Pacific,3,New,Yes
3,C-Class,Sport,2020,83666,113954,Petrol,Automatic,4.6,544,Gray,Sedan,Latin America,3,New,Yes
4,A-Class,Base,2022,70616,126762,Petrol,Manual,3,452,Black,Hatchback,Asia Pacific,1,New,Yes
5,GLS,Premium Plus,2011,125586,54886,Diesel,Automatic,1.7,489,Blue,SUV,Latin America,2,New,No
6,GLB,Base,2022,73075,16321,Petrol,Manual,1.5,593,Black,Sedan,Asia Pacific,2,Fair,Yes
7,C-Class,Exclusive,2022,80316,109826,Diesel,Manual,4.6,498,Brown,Coupe,Europe,4,New,Yes
8,B-Class,Premium,2013,34252,185200,Petrol,Automatic,4.7,380,Silver,Hatchback,Latin America,4,Fair,Yes
9,EQC,Premium Plus,2008,77810,125173,Electric,Automatic,0,201,Red,SUV,Europe,2,Like New,No
10,B-Class,Sport,2010,44356,75097,Diesel,Manual,6,113,Gold,Coupe,Europe,4,New,Yes
11,S-Class,Premium,2019,103220,137059,Petrol,Automatic,2.3,124,White,SUV,Latin America,4,Like New,Yes
12,C-Class,AMG Line,2018,82623,128118,Hybrid,Manual,3.5,575,Red,Sedan,Middle East,2,Excellent,Yes
13,EQB,Avantgarde,2009,91584,60012,Electric,Automatic,0,594,White,Sedan,Middle East,2,Good,Yes
14,EQC,Sport,2011,80433,112599,Electric,Automatic,0,454,Gray,Sedan,Europe,4,Fair,Yes
15,EQB,AMG Line,2023,92715,130095,Electric,Automatic,0,309,Blue,Sedan,North America,4,Like New,Yes
16,EQA,Luxury,2025,83956,173257,Electric,Automatic,0,573,Green,Sedan,Europe,1,Fair,Yes
17,GLS,Base,2022,112977,76616,Hybrid,Manual,2.4,389,Black,SUV,Africa,3,Good,No
18,E-Class,AMG Line,2011,59068,104940,Diesel,Automatic,3.4,349,Beige,Liftback,Middle East,3,Good,Yes
19,C-Class,Sport,2018,74964,138310,Diesel,Automatic,4,575,Black,Liftback,Africa,4,Like New,Yes
20,GLC,Base,2024,93094,80967,Hybrid,Manual,3,607,Black,Wagon,Asia Pacific,1,Good,No
21,GLB,Exclusive,2014,81244,81332,Hybrid,Manual,3.1,461,Gold,Wagon,Europe,1,New,Yes
22,A-Class,Premium Plus,2014,35254,69979,Petrol,Automatic,6.7,204,Beige,Wagon,Asia Pacific,1,Very Good,Yes
23,GLE,Exclusive,2015,101584,73662,Plug-in Hybrid,Manual,4.4,465,Silver,SUV,Latin America,3,Excellent,Yes
24,GLC,Luxury,2020,67663,78108,Hybrid,Automatic,6.9,374,White,Roadster,Middle East,1,Fair,Yes
25,GLA,Base,2025,56748,86532,Diesel,Manual,3.7,159,Gold,SUV,Africa,4,Like New,Yes
26,E-Class,Sport,2023,78637,124519,Hybrid,Manual,3.2,142,Red,Roadster,Africa,4,New,Yes
27,CLA,Avantgarde,2014,33045,61702,Petrol,Manual,1.4,233,Red,Coupe,Middle East,4,Fair,Yes
28,AMG GT,AMG Line,2017,147547,40533,Petrol,Manual,1.8,390,Green,Coupe,Africa,3,Good,Yes
29,CLA,Exclusive,2023,87465,153626,Plug-in Hybrid,Manual,5.9,460,White,Coupe,Africa,4,New,Yes
30,EQC,Luxury,2022,100503,93895,Electric,Automatic,0,274,Gold,SUV,Asia Pacific,4,Like New,Yes
31,A-Class,Luxury,2014,49227,195012,Diesel,Manual,2.1,577,Green,Sedan,Asia Pacific,4,Very Good,No
32,B-Class,Avantgarde,2021,72242,38313,Petrol,Automatic,4.5,628,Green,SUV,Middle East,2,Good,Yes
33,A-Class,AMG Line,2023,54151,177329,Plug-in Hybrid,Automatic,2.7,325,Blue,Liftback,Latin America,4,Good,No
34,AMG GT,Sport,2012,125339,207056,Petrol,Manual,4.8,352,Gray,Coupe,Europe,2,Good,Yes
35,B-Class,Base,2016,46019,127332,Diesel,Manual,2.2,441,Gray,SUV,Africa,2,Good,Yes
36,S-Class,Exclusive,2017,116796,51324,Petrol,Manual,3.5,503,Beige,SUV,Middle East,2,Very Good,Yes
37,GLB,Avantgarde,2020,62666,191654,Petrol,Manual,3.5,396,Silver,Coupe,Asia Pacific,4,Excellent,No
38,GLB,AMG Line,2019,57003,74054,Petrol,Automatic,2,200,Beige,SUV,Middle East,1,Like New,Yes
39,GLA,Base,2023,91308,18147,Petrol,Manual,6.2,565,Black,Convertible,Africa,3,New,Yes
40,EQC,AMG Line,2010,81902,104481,Electric,Automatic,0,254,Blue,Sedan,Asia Pacific,1,Like New,Yes
41,GLB,Night Edition,2023,85416,112623,Diesel,Manual,1.5,610,Beige,SUV,Africa,3,Like New,No
42,EQB,AMG Line,2019,88786,129162,Electric,Automatic,0,210,Black,Sedan,Asia Pacific,1,New,Yes
43,EQA,Avantgarde,2023,96891,48738,Electric,Automatic,0,501,Blue,Sedan,Africa,1,Excellent,No
44,GLA,Exclusive,2008,38186,94970,Hybrid,Automatic,3.4,228,Black,Wagon,North America,2,Good,Yes
45,A-Class,Premium,2016,77857,209233,Plug-in Hybrid,Manual,4.8,555,Blue,Coupe,Middle East,1,New,No
46,S-Class,Luxury,2021,122992,90233,Petrol,Manual,1.3,570,Red,SUV,Latin America,1,Very Good,Yes
47,AMG GT,Sport,2011,152315,119054,Diesel,Automatic,5.3,455,Brown,Coupe,Latin America,3,New,Yes
48,B-Class,Premium Plus,2017,49213,145288,Plug-in Hybrid,Automatic,4.9,198,Red,Convertible,North America,4,Very Good,Yes
49,AMG GT,Exclusive,2017,156992,47320,Diesel,Automatic,1.9,588,Green,Coupe,Africa,4,Good,Yes
50,E-Class,Premium,2015,96224,52336,Plug-in Hybrid,Manual,5.1,615,Brown,Roadster,North America,1,Good,Yes
51,GLB,Base,2015,79666,58358,Hybrid,Automatic,3.7,454,Brown,Hatchback,Latin America,1,Like New,No
52,EQC,Premium,2020,83971,166610,Electric,Automatic,0,265,Black,SUV,Africa,2,Excellent,No
53,GLA,Night Edition,2008,62361,172385,Plug-in Hybrid,Automatic,3.1,571,White,Coupe,Asia Pacific,4,Very Good,Yes
54,AMG GT,Night Edition,2020,149030,155188,Petrol,Manual,2.6,523,Gray,Coupe,Africa,1,Very Good,No
55,GLS,Avantgarde,2012,103014,169560,Petrol,Manual,5.1,436,Blue,SUV,Middle East,1,Good,Yes
56,GLB,Premium Plus,2021,89546,60803,Plug-in Hybrid,Manual,4.7,377,Gold,Hatchback,Europe,4,New,No
